case_id,soc_id,incident_id,alert_id,created_at,assigned_analyst_id,severity,status,resolution,resolution_reason,investigation_notes,closed_at
CASE-000409,SOC-001,,ALT-000409,2026-01-11T11:21:00Z,ANL-1009,HIGH,CLOSED,FALSE_POSITIVE,Suspicious PowerShell — False Positive,Reviewed T1059.001 activity on HOST-2511; correlated with source 10.117.70.128.,2026-01-11T12:49:00Z
CASE-000410,SOC-001,,ALT-000410,2026-01-11T16:53:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Checked process execution history for HOST-3794 following T1567 alert.,2026-01-11T23:46:00Z
CASE-000411,SOC-001,,ALT-000411,2026-01-11T17:23:00Z,ANL-1002,HIGH,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Reviewed escalation criteria for HOST-4457; behaviour consistent with known baseline.,2026-01-11T19:00:00Z
CASE-000412,SOC-001,,ALT-000412,2026-01-11T09:49:00Z,ANL-1001,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Manually reviewed HOST-3764 logs; findings documented against case ticket.,2026-01-12T01:07:00Z
CASE-000413,SOC-001,,ALT-000413,2026-01-11T19:15:00Z,ANL-1009,CRITICAL,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,"Closed with minimal review — T1595 alert on HOST-3822, no further action taken.",2026-01-11T19:41:00Z
CASE-000414,SOC-001,,ALT-000414,2026-01-11T11:36:00Z,ANL-1008,MEDIUM,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Confirmed T1567 alert on HOST-1200 against recent change records.,2026-01-11T13:31:00Z
CASE-000415,SOC-001,,ALT-000415,2026-01-11T10:14:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Reviewed T1071.001 activity on HOST-3904; correlated with source 10.168.199.122.,2026-01-11T17:30:00Z
CASE-000416,SOC-001,,ALT-000416,2026-01-11T16:23:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Checked process execution history for HOST-4063 following T1547.001 alert.,2026-01-11T23:00:00Z
CASE-000417,SOC-001,,ALT-000417,2026-01-11T09:11:00Z,ANL-1003,CRITICAL,CLOSED,FALSE_POSITIVE,Internal Network Port Scan — False Positive,Cross-referenced 10.180.111.108 against threat intelligence feeds for HOST-3337.,2026-01-11T09:55:00Z
CASE-000418,SOC-001,,ALT-000418,2026-01-11T14:41:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Manually reviewed HOST-2368 logs; findings documented against case ticket.,2026-01-11T18:11:00Z
CASE-000419,SOC-001,,ALT-000419,2026-01-11T20:24:00Z,ANL-1009,HIGH,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Manually reviewed HOST-4618 logs; findings documented against case ticket.,2026-01-11T21:19:00Z
CASE-000420,SOC-001,,ALT-000420,2026-01-11T02:00:00Z,ANL-1001,LOW,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,"Closed with minimal review — T1547.001 alert on HOST-3957, no further action taken.",2026-01-11T11:09:00Z
CASE-000421,SOC-001,,ALT-000421,2026-01-11T01:23:00Z,ANL-1007,HIGH,CLOSED,FALSE_POSITIVE,Suspicious CMD Execution — False Positive,Manually reviewed HOST-3970 logs; findings documented against case ticket.,2026-01-11T02:12:00Z
CASE-000422,SOC-001,,ALT-000422,2026-01-11T14:21:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Cross-referenced 10.71.75.134 against threat intelligence feeds for HOST-3822.,2026-01-11T20:02:00Z
CASE-000423,SOC-001,,ALT-000423,2026-01-11T06:37:00Z,ANL-1005,MEDIUM,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,"Closed with minimal review — T1567 alert on HOST-1089, no further action taken.",2026-01-11T07:36:00Z
CASE-000424,SOC-001,,ALT-000424,2026-01-11T10:14:00Z,ANL-1005,MEDIUM,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Traced network flow from 10.61.100.92 to determine scope of T1486 activity on HOST-1265.,2026-01-11T14:39:00Z
CASE-000425,SOC-001,,ALT-000425,2026-01-11T07:16:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Manually reviewed HOST-2015 logs; findings documented against case ticket.,2026-01-11T10:00:00Z
CASE-000426,SOC-001,,ALT-000426,2026-01-11T02:12:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Manually reviewed HOST-3596 logs; findings documented against case ticket.,2026-01-11T05:36:00Z
CASE-000427,SOC-001,,ALT-000427,2026-01-11T20:19:00Z,ANL-1005,MEDIUM,CLOSED,FALSE_POSITIVE,LSASS Memory Access — False Positive,Reviewed escalation criteria for HOST-4897; behaviour consistent with known baseline.,2026-01-11T22:36:00Z
CASE-000428,SOC-001,,ALT-000428,2026-01-11T09:32:00Z,ANL-1005,HIGH,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Investigated T1110 indicators on HOST-1873; no further lateral movement observed.,2026-01-11T10:34:00Z
CASE-000429,SOC-001,,ALT-000429,2026-01-11T23:20:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Analysed endpoint telemetry for HOST-2449 tied to T1071.001 detection.,2026-01-12T03:43:00Z
CASE-000430,SOC-001,,ALT-000430,2026-01-11T08:06:00Z,ANL-1002,MEDIUM,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Manually reviewed HOST-2802 logs; findings documented against case ticket.,2026-01-11T10:57:00Z
CASE-000431,SOC-001,,ALT-000431,2026-01-11T13:52:00Z,ANL-1003,CRITICAL,CLOSED,FALSE_POSITIVE,Password Spraying Detected — False Positive,Reviewed escalation criteria for HOST-4000; behaviour consistent with known baseline.,2026-01-11T14:24:00Z
CASE-000432,SOC-001,,ALT-000432,2026-01-11T00:08:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Confirmed T1071.001 alert on HOST-4062 against recent change records.,2026-01-11T07:09:00Z
CASE-000433,SOC-001,,ALT-000433,2026-01-11T02:36:00Z,ANL-1008,HIGH,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Analysed endpoint telemetry for HOST-4466 tied to T1053.005 detection.,2026-01-11T03:31:00Z
CASE-000434,SOC-001,,ALT-000434,2026-01-11T08:54:00Z,ANL-1004,LOW,CLOSED,TRUE_POSITIVE,Suspicious PowerShell — True Positive,Validated authentication logs tied to HOST-1616 to rule out credential compromise.,2026-01-11T16:03:00Z
CASE-000435,SOC-001,,ALT-000435,2026-01-11T07:59:00Z,ANL-1004,LOW,CLOSED,FALSE_POSITIVE,Unusual RDP Session — False Positive,Checked process execution history for HOST-2110 following T1021.001 alert.,2026-01-11T15:11:00Z
CASE-000436,SOC-001,,ALT-000436,2026-01-11T15:47:00Z,ANL-1010,HIGH,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Analysed endpoint telemetry for HOST-1492 tied to T1110 detection.,2026-01-11T16:40:00Z
CASE-000437,SOC-001,,ALT-000437,2026-01-11T12:56:00Z,ANL-1008,MEDIUM,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Analysed endpoint telemetry for HOST-4318 tied to T1041 detection.,2026-01-11T17:16:00Z
CASE-000438,SOC-001,,ALT-000438,2026-01-11T04:47:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Traced network flow from 10.254.104.79 to determine scope of T1003 activity on HOST-3124.,2026-01-11T08:59:00Z
CASE-000439,SOC-001,,ALT-000439,2026-01-11T07:05:00Z,ANL-1007,LOW,CLOSED,FALSE_POSITIVE,Internal Network Port Scan — False Positive,Validated authentication logs tied to HOST-2428 to rule out credential compromise.,2026-01-11T14:17:00Z
CASE-000440,SOC-001,,ALT-000440,2026-01-11T03:45:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Validated authentication logs tied to HOST-4044 to rule out credential compromise.,2026-01-11T07:34:00Z
CASE-000441,SOC-001,,ALT-000441,2026-01-12T07:10:00Z,ANL-1007,MEDIUM,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Reviewed escalation criteria for HOST-4421; behaviour consistent with known baseline.,2026-01-12T09:23:00Z
CASE-000442,SOC-001,,ALT-000442,2026-01-12T16:16:00Z,ANL-1002,MEDIUM,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Validated authentication logs tied to HOST-2402 to rule out credential compromise.,2026-01-12T17:10:00Z
CASE-000443,SOC-001,,ALT-000443,2026-01-12T11:33:00Z,ANL-1010,LOW,CLOSED,FALSE_POSITIVE,Repeated Failed Logins — False Positive,Analysed endpoint telemetry for HOST-4049 tied to T1110 detection.,2026-01-12T20:08:00Z
CASE-000444,SOC-001,,ALT-000444,2026-01-12T09:00:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Checked process execution history for HOST-4842 following T1486 alert.,2026-01-12T17:12:00Z
CASE-000445,SOC-001,,ALT-000445,2026-01-12T23:47:00Z,ANL-1010,HIGH,CLOSED,FALSE_POSITIVE,Unusual SMB Admin Share Access — False Positive,Confirmed T1021.002 alert on HOST-1505 against recent change records.,2026-01-13T01:11:00Z
CASE-000446,SOC-001,,ALT-000446,2026-01-12T23:21:00Z,ANL-1005,HIGH,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Investigated T1486 indicators on HOST-4089; no further lateral movement observed.,2026-01-13T00:56:00Z
CASE-000447,SOC-001,,ALT-000447,2026-01-12T08:22:00Z,ANL-1002,MEDIUM,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Validated authentication logs tied to HOST-4425 to rule out credential compromise.,2026-01-12T12:44:00Z
CASE-000448,SOC-001,,ALT-000448,2026-01-12T11:41:00Z,ANL-1008,HIGH,CLOSED,FALSE_POSITIVE,Suspicious Binary Download — False Positive,Reviewed T1105 activity on HOST-1163; correlated with source 10.221.13.56.,2026-01-12T12:51:00Z
CASE-000449,SOC-001,,ALT-000449,2026-01-12T06:35:00Z,ANL-1009,HIGH,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Analysed endpoint telemetry for HOST-1657 tied to T1105 detection.,2026-01-12T07:46:00Z
CASE-000450,SOC-001,,ALT-000450,2026-01-12T14:57:00Z,ANL-1006,LOW,CLOSED,FALSE_POSITIVE,Unusual SMB Admin Share Access — False Positive,Traced network flow from 10.57.97.149 to determine scope of T1021.002 activity on HOST-4300.,2026-01-12T22:08:00Z
CASE-000451,SOC-001,,ALT-000451,2026-01-12T23:52:00Z,ANL-1005,CRITICAL,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Manually reviewed HOST-1424 logs; findings documented against case ticket.,2026-01-13T00:26:00Z
CASE-000452,SOC-001,,ALT-000452,2026-01-12T18:25:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Manually reviewed HOST-3124 logs; findings documented against case ticket.,2026-01-13T00:32:00Z
CASE-000453,SOC-001,,ALT-000453,2026-01-12T22:41:00Z,ANL-1009,HIGH,CLOSED,FALSE_POSITIVE,Beaconing to Known C2 Domain — False Positive,Checked process execution history for HOST-3939 following T1071.001 alert.,2026-01-13T00:07:00Z
CASE-000454,SOC-001,,ALT-000454,2026-01-12T13:45:00Z,ANL-1003,HIGH,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,"Closed with minimal review — T1567 alert on HOST-3010, no further action taken.",2026-01-12T14:33:00Z
CASE-000455,SOC-001,,ALT-000455,2026-01-12T05:46:00Z,ANL-1004,MEDIUM,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Cross-referenced 10.253.61.85 against threat intelligence feeds for HOST-3991.,2026-01-12T09:19:00Z
CASE-000456,SOC-001,,ALT-000456,2026-01-12T12:12:00Z,ANL-1004,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Confirmed T1595 alert on HOST-2067 against recent change records.,2026-01-12T19:25:00Z
CASE-000457,SOC-001,,ALT-000457,2026-01-12T15:11:00Z,ANL-1009,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Reviewed escalation criteria for HOST-3543; behaviour consistent with known baseline.,2026-01-12T19:31:00Z
CASE-000458,SOC-001,,ALT-000458,2026-01-12T04:39:00Z,ANL-1006,MEDIUM,CLOSED,FALSE_POSITIVE,Repeated Failed Logins — False Positive,Reviewed escalation criteria for HOST-3471; behaviour consistent with known baseline.,2026-01-12T09:00:00Z
CASE-000459,SOC-001,,ALT-000459,2026-01-12T06:18:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Confirmed T1595 alert on HOST-2834 against recent change records.,2026-01-12T13:12:00Z
CASE-000460,SOC-001,,ALT-000460,2026-01-12T09:24:00Z,ANL-1004,MEDIUM,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Confirmed T1003 alert on HOST-1193 against recent change records.,2026-01-12T13:12:00Z
CASE-000461,SOC-001,,ALT-000461,2026-01-12T03:59:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Analysed endpoint telemetry for HOST-3823 tied to T1059.001 detection.,2026-01-13T17:03:00Z
CASE-000462,SOC-001,,ALT-000462,2026-01-12T06:52:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Suspicious CMD Execution — True Positive,Analysed endpoint telemetry for HOST-4451 tied to T1059.003 detection.,2026-01-12T14:32:00Z
CASE-000463,SOC-001,,ALT-000463,2026-01-12T03:48:00Z,ANL-1002,HIGH,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,Cross-referenced 10.254.102.33 against threat intelligence feeds for HOST-2071.,2026-01-12T05:06:00Z
CASE-000464,SOC-001,,ALT-000464,2026-01-12T10:02:00Z,ANL-1010,HIGH,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Reviewed T1486 activity on HOST-3969; correlated with source 10.128.89.90.,2026-01-12T11:03:00Z
CASE-000465,SOC-001,,ALT-000465,2026-01-12T17:10:00Z,ANL-1003,MEDIUM,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Confirmed T1486 alert on HOST-2178 against recent change records.,2026-01-12T19:30:00Z
CASE-000466,SOC-001,,ALT-000466,2026-01-12T00:41:00Z,ANL-1008,MEDIUM,CLOSED,FALSE_POSITIVE,Unusual Scheduled Task Created — False Positive,Analysed endpoint telemetry for HOST-1302 tied to T1053.005 detection.,2026-01-12T03:36:00Z
CASE-000467,SOC-001,,ALT-000467,2026-01-12T09:09:00Z,ANL-1001,HIGH,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Validated authentication logs tied to HOST-2768 to rule out credential compromise.,2026-01-12T10:38:00Z
CASE-000468,SOC-001,,ALT-000468,2026-01-12T21:50:00Z,ANL-1010,CRITICAL,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,Analysed endpoint telemetry for HOST-3987 tied to T1021.001 detection.,2026-01-12T22:39:00Z
CASE-000469,SOC-001,,ALT-000469,2026-01-12T12:36:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Reviewed escalation criteria for HOST-1845; behaviour consistent with known baseline.,2026-01-12T16:39:00Z
CASE-000470,SOC-001,,ALT-000470,2026-01-12T06:19:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,New Registry Run Key Entry — True Positive,Manually reviewed HOST-1616 logs; findings documented against case ticket.,2026-01-12T12:31:00Z
CASE-000471,SOC-001,,ALT-000471,2026-01-12T14:06:00Z,ANL-1001,MEDIUM,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Cross-referenced 10.244.87.197 against threat intelligence feeds for HOST-1600.,2026-01-12T17:14:00Z
CASE-000472,SOC-001,,ALT-000472,2026-01-12T21:12:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Upload to Unapproved Cloud Storage — True Positive,"Closed with minimal review — T1567 alert on HOST-4829, no further action taken.",2026-01-13T00:53:00Z
CASE-000473,SOC-001,,ALT-000473,2026-01-12T22:19:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Investigated T1486 indicators on HOST-1978; no further lateral movement observed.,2026-01-13T05:07:00Z
CASE-000474,SOC-001,,ALT-000474,2026-01-12T13:26:00Z,ANL-1006,HIGH,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Cross-referenced 10.98.250.73 against threat intelligence feeds for HOST-4496.,2026-01-12T14:58:00Z
CASE-000475,SOC-001,,ALT-000475,2026-01-12T23:51:00Z,ANL-1006,LOW,CLOSED,FALSE_POSITIVE,Unusual RDP Session — False Positive,Validated authentication logs tied to HOST-1055 to rule out credential compromise.,2026-01-13T10:36:00Z
CASE-000476,SOC-001,,ALT-000476,2026-01-12T16:12:00Z,ANL-1008,LOW,CLOSED,FALSE_POSITIVE,Unusual RDP Session — False Positive,Validated authentication logs tied to HOST-3561 to rule out credential compromise.,2026-01-12T22:49:00Z
CASE-000477,SOC-001,,ALT-000477,2026-01-12T18:18:00Z,ANL-1010,LOW,CLOSED,TRUE_POSITIVE,LSASS Memory Access — True Positive,Checked process execution history for HOST-3602 following T1003 alert.,2026-01-12T22:37:00Z
CASE-000478,SOC-001,,ALT-000478,2026-01-12T11:44:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,"Closed with minimal review — T1486 alert on HOST-4159, no further action taken.",2026-01-12T12:21:00Z
CASE-000479,SOC-001,,ALT-000479,2026-01-12T12:29:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Analysed endpoint telemetry for HOST-4261 tied to T1595 detection.,2026-01-12T18:08:00Z
CASE-000480,SOC-001,,ALT-000480,2026-01-12T15:25:00Z,ANL-1003,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Analysed endpoint telemetry for HOST-1088 tied to T1486 detection.,2026-01-12T23:14:00Z
CASE-000481,SOC-001,,ALT-000481,2026-01-13T20:19:00Z,ANL-1011,MEDIUM,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Reviewed escalation criteria for HOST-2386; behaviour consistent with known baseline.,2026-01-13T23:23:00Z
CASE-000482,SOC-001,,ALT-000482,2026-01-13T22:12:00Z,ANL-1003,MEDIUM,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Validated authentication logs tied to HOST-2356 to rule out credential compromise.,2026-01-14T00:39:00Z
CASE-000483,SOC-001,,ALT-000483,2026-01-13T15:15:00Z,ANL-1004,HIGH,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Reviewed T1041 activity on HOST-1241; correlated with source 10.247.74.201.,2026-01-13T16:14:00Z
CASE-000484,SOC-001,,ALT-000484,2026-01-13T00:41:00Z,ANL-1011,LOW,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Cross-referenced 10.75.228.161 against threat intelligence feeds for HOST-1103.,2026-01-13T08:44:00Z
CASE-000485,SOC-001,,ALT-000485,2026-01-13T17:30:00Z,ANL-1006,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Cross-referenced 10.222.165.102 against threat intelligence feeds for HOST-2337.,2026-01-13T21:26:00Z
CASE-000486,SOC-001,,ALT-000486,2026-01-13T11:21:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Unusual Scheduled Task Created — True Positive,Validated authentication logs tied to HOST-2475 to rule out credential compromise.,2026-01-13T15:41:00Z
CASE-000487,SOC-001,,ALT-000487,2026-01-13T04:55:00Z,ANL-1003,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Reviewed escalation criteria for HOST-1952; behaviour consistent with known baseline.,2026-01-13T10:19:00Z
CASE-000488,SOC-001,,ALT-000488,2026-01-13T17:00:00Z,ANL-1011,LOW,CLOSED,FALSE_POSITIVE,New Registry Run Key Entry — False Positive,Traced network flow from 10.191.198.41 to determine scope of T1547.001 activity on HOST-1623.,2026-01-13T23:13:00Z
CASE-000489,SOC-001,,ALT-000489,2026-01-13T03:47:00Z,ANL-1004,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Analysed endpoint telemetry for HOST-2587 tied to T1595 detection.,2026-01-13T07:12:00Z
CASE-000490,SOC-001,,ALT-000490,2026-01-13T15:30:00Z,ANL-1009,MEDIUM,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Validated authentication logs tied to HOST-1676 to rule out credential compromise.,2026-01-13T18:05:00Z
CASE-000491,SOC-001,,ALT-000491,2026-01-13T00:19:00Z,ANL-1001,LOW,CLOSED,FALSE_POSITIVE,Internal Network Port Scan — False Positive,Cross-referenced 10.233.104.31 against threat intelligence feeds for HOST-3677.,2026-01-13T06:04:00Z
CASE-000492,SOC-001,,ALT-000492,2026-01-13T01:31:00Z,ANL-1007,MEDIUM,CLOSED,FALSE_POSITIVE,Unusual RDP Session — False Positive,Analysed endpoint telemetry for HOST-1122 tied to T1021.001 detection.,2026-01-13T05:08:00Z
CASE-000493,SOC-001,,ALT-000493,2026-01-13T19:23:00Z,ANL-1008,LOW,CLOSED,FALSE_POSITIVE,Ransomware Behaviour Detected — False Positive,Confirmed T1486 alert on HOST-1362 against recent change records.,2026-01-13T23:57:00Z
CASE-000494,SOC-001,,ALT-000494,2026-01-13T14:28:00Z,ANL-1009,CRITICAL,CLOSED,FALSE_POSITIVE,Large Outbound Data Transfer — False Positive,Validated authentication logs tied to HOST-3643 to rule out credential compromise.,2026-01-13T15:20:00Z
CASE-000495,SOC-001,,ALT-000495,2026-01-13T11:35:00Z,ANL-1007,LOW,CLOSED,TRUE_POSITIVE,Suspicious Binary Download — True Positive,Investigated T1105 indicators on HOST-4426; no further lateral movement observed.,2026-01-14T18:39:00Z
CASE-000496,SOC-001,,ALT-000496,2026-01-13T09:07:00Z,ANL-1004,LOW,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,Manually reviewed HOST-1127 logs; findings documented against case ticket.,2026-01-13T15:19:00Z
CASE-000497,SOC-001,,ALT-000497,2026-01-13T22:30:00Z,ANL-1007,LOW,CLOSED,FALSE_POSITIVE,Suspicious CMD Execution — False Positive,Validated authentication logs tied to HOST-2047 to rule out credential compromise.,2026-01-14T04:34:00Z
CASE-000498,SOC-001,,ALT-000498,2026-01-13T22:54:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Ransomware Behaviour Detected — True Positive,Manually reviewed HOST-4183 logs; findings documented against case ticket.,2026-01-14T06:43:00Z
CASE-000499,SOC-001,,ALT-000499,2026-01-13T13:07:00Z,ANL-1011,LOW,CLOSED,TRUE_POSITIVE,Large Outbound Data Transfer — True Positive,Cross-referenced 10.248.127.2 against threat intelligence feeds for HOST-2357.,2026-01-13T20:27:00Z
CASE-000500,SOC-001,,ALT-000500,2026-01-13T22:27:00Z,ANL-1001,MEDIUM,CLOSED,FALSE_POSITIVE,Password Spraying Detected — False Positive,Checked process execution history for HOST-4253 following T1110 alert.,2026-01-14T01:03:00Z
CASE-000501,SOC-001,,ALT-000501,2026-01-13T06:28:00Z,ANL-1011,MEDIUM,CLOSED,FALSE_POSITIVE,Suspicious PowerShell — False Positive,Reviewed T1059.001 activity on HOST-3722; correlated with source 10.244.34.249.,2026-01-13T10:10:00Z
CASE-000502,SOC-001,,ALT-000502,2026-01-13T04:20:00Z,ANL-1004,LOW,CLOSED,FALSE_POSITIVE,New Registry Run Key Entry — False Positive,Cross-referenced 10.243.244.123 against threat intelligence feeds for HOST-4323.,2026-01-13T10:40:00Z
CASE-000503,SOC-001,,ALT-000503,2026-01-13T08:26:00Z,ANL-1001,CRITICAL,CLOSED,FALSE_POSITIVE,Unusual SMB Admin Share Access — False Positive,Reviewed T1021.002 activity on HOST-4391; correlated with source 10.202.14.50.,2026-01-13T09:08:00Z
CASE-000504,SOC-001,,ALT-000504,2026-01-13T04:49:00Z,ANL-1011,HIGH,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Checked process execution history for HOST-4182 following T1595 alert.,2026-01-13T06:03:00Z
CASE-000505,SOC-001,,ALT-000505,2026-01-13T16:14:00Z,ANL-1006,HIGH,CLOSED,FALSE_POSITIVE,Upload to Unapproved Cloud Storage — False Positive,Traced network flow from 10.97.178.249 to determine scope of T1567 activity on HOST-3434.,2026-01-13T17:34:00Z
CASE-000506,SOC-001,,ALT-000506,2026-01-13T03:46:00Z,ANL-1005,MEDIUM,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Checked process execution history for HOST-1710 following T1071.001 alert.,2026-01-13T07:20:00Z
CASE-000507,SOC-001,,ALT-000507,2026-01-13T08:59:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Reviewed T1595 activity on HOST-4325; correlated with source 10.215.101.69.,2026-01-13T14:23:00Z
CASE-000508,SOC-001,,ALT-000508,2026-01-13T08:08:00Z,ANL-1002,LOW,CLOSED,FALSE_POSITIVE,Encoded PowerShell Command — False Positive,Reviewed escalation criteria for HOST-3192; behaviour consistent with known baseline.,2026-01-13T13:45:00Z
CASE-000509,SOC-001,,ALT-000509,2026-01-13T00:10:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Unusual RDP Session — True Positive,Confirmed T1021.001 alert on HOST-3524 against recent change records.,2026-01-13T05:23:00Z
CASE-000510,SOC-001,,ALT-000510,2026-01-13T02:26:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Confirmed T1595 alert on HOST-4470 against recent change records.,2026-01-13T07:02:00Z
CASE-000511,SOC-001,,ALT-000511,2026-01-13T11:25:00Z,ANL-1005,LOW,CLOSED,TRUE_POSITIVE,Internal Network Port Scan — True Positive,Investigated T1595 indicators on HOST-2287; no further lateral movement observed.,2026-01-13T19:40:00Z
CASE-000512,SOC-001,,ALT-000512,2026-01-13T15:10:00Z,ANL-1003,LOW,CLOSED,TRUE_POSITIVE,Beaconing to Known C2 Domain — True Positive,Investigated T1071.001 indicators on HOST-2064; no further lateral movement observed.,2026-01-13T22:50:00Z
CASE-000513,SOC-001,,ALT-000513,2026-01-13T02:14:00Z,ANL-1002,LOW,CLOSED,TRUE_POSITIVE,Password Spraying Detected — True Positive,Cross-referenced 10.240.216.230 against threat intelligence feeds for HOST-3132.,2026-01-13T09:10:00Z
CASE-000514,SOC-001,,ALT-000514,2026-01-13T05:49:00Z,ANL-1005,HIGH,CLOSED,TRUE_POSITIVE,Repeated Failed Logins — True Positive,Cross-referenced 10.29.201.35 against threat intelligence feeds for HOST-2333.,2026-01-13T11:21:00Z
CASE-000515,SOC-001,,ALT-000515,2026-01-13T14:33:00Z,ANL-1008,LOW,CLOSED,TRUE_POSITIVE,Encoded PowerShell Command — True Positive,Checked process execution history for HOST-2176 following T1059.001 alert.,2026-01-13T20:52:00Z
